1,-22.5,22.5,0
2,22.5,22.5,0
3,-22.5,22.5,10
4,22.5,22.5,10
5,-22.5,-22.5,0
6,-22.5,-22.5,10
7,22.5,-22.5,0
8,22.5,-22.5,10
9,15,0,10
10,-15,0,10
11,15,0,0
12,-15,0,0
13,-20.25,22.5,0
14,-18,22.5,0
15,-15.75,22.5,0
16,-13.5,22.5,0
17,-11.25,22.5,0
18,-9,22.5,0
19,-6.75,22.5,0
20,-4.5,22.5,0
21,-2.25,22.5,0
22,0,22.5,0
23,2.25,22.5,0
24,4.5,22.5,0
25,6.75,22.5,0
26,9,22.5,0
27,11.25,22.5,0
28,13.5,22.5,0
29,15.75,22.5,0
30,18,22.5,0
31,20.25,22.5,0
32,-22.5,22.5,7.5
33,-22.5,22.5,5
34,-22.5,22.5,2.5
35,-20.25,22.5,10
36,-18,22.5,10
37,-15.75,22.5,10
38,-13.5,22.5,10
39,-11.25,22.5,10
40,-9,22.5,10
41,-6.75,22.5,10
42,-4.5,22.5,10
43,-2.25,22.5,10
44,0,22.5,10
45,2.25,22.5,10
46,4.5,22.5,10
47,6.75,22.5,10
48,9,22.5,10
49,11.25,22.5,10
50,13.5,22.5,10
51,15.75,22.5,10
52,18,22.5,10
53,20.25,22.5,10
54,22.5,22.5,7.5
55,22.5,22.5,5
56,22.5,22.5,2.5
57,-22.5,20.25,0
58,-22.5,18,0
59,-22.5,15.75,0
60,-22.5,13.5,0
61,-22.5,11.25,0
62,-22.5,9,0
63,-22.5,6.75,0
64,-22.5,4.5,0
65,-22.5,2.25,0
66,-22.5,0,0
67,-22.5,-2.25,0
68,-22.5,-4.5,0
69,-22.5,-6.75,0
70,-22.5,-9,0
71,-22.5,-11.25,0
72,-22.5,-13.5,0
73,-22.5,-15.75,0
74,-22.5,-18,0
75,-22.5,-20.25,0
76,-22.5,-22.5,7.5
77,-22.5,-22.5,5
78,-22.5,-22.5,2.5
79,-22.5,20.25,10
80,-22.5,18,10
81,-22.5,15.75,10
82,-22.5,13.5,10
83,-22.5,11.25,10
84,-22.5,9,10
85,-22.5,6.75,10
86,-22.5,4.5,10
87,-22.5,2.25,10
88,-22.5,0,10
89,-22.5,-2.25,10
90,-22.5,-4.5,10
91,-22.5,-6.75,10
92,-22.5,-9,10
93,-22.5,-11.25,10
94,-22.5,-13.5,10
95,-22.5,-15.75,10
96,-22.5,-18,10
97,-22.5,-20.25,10
98,-20.25,-22.5,0
99,-18,-22.5,0
100,-15.75,-22.5,0
101,-13.5,-22.5,0
102,-11.25,-22.5,0
103,-9,-22.5,0
104,-6.75,-22.5,0
105,-4.5,-22.5,0
106,-2.25,-22.5,0
107,0,-22.5,0
108,2.25,-22.5,0
109,4.5,-22.5,0
110,6.75,-22.5,0
111,9,-22.5,0
112,11.25,-22.5,0
113,13.5,-22.5,0
114,15.75,-22.5,0
115,18,-22.5,0
116,20.25,-22.5,0
117,22.5,-22.5,7.5
118,22.5,-22.5,5
119,22.5,-22.5,2.5
120,-20.25,-22.5,10
121,-18,-22.5,10
122,-15.75,-22.5,10
123,-13.5,-22.5,10
124,-11.25,-22.5,10
125,-9,-22.5,10
126,-6.75,-22.5,10
127,-4.5,-22.5,10
128,-2.25,-22.5,10
129,0,-22.5,10
130,2.25,-22.5,10
131,4.5,-22.5,10
132,6.75,-22.5,10
133,9,-22.5,10
134,11.25,-22.5,10
135,13.5,-22.5,10
136,15.75,-22.5,10
137,18,-22.5,10
138,20.25,-22.5,10
139,22.5,20.25,0
140,22.5,18,0
141,22.5,15.75,0
142,22.5,13.5,0
143,22.5,11.25,0
144,22.5,9,0
145,22.5,6.75,0
146,22.5,4.5,0
147,22.5,2.25,0
148,22.5,0,0
149,22.5,-2.25,0
150,22.5,-4.5,0
151,22.5,-6.75,0
152,22.5,-9,0
153,22.5,-11.25,0
154,22.5,-13.5,0
155,22.5,-15.75,0
156,22.5,-18,0
157,22.5,-20.25,0
158,22.5,20.25,10
159,22.5,18,10
160,22.5,15.75,10
161,22.5,13.5,10
162,22.5,11.25,10
163,22.5,9,10
164,22.5,6.75,10
165,22.5,4.5,10
166,22.5,2.25,10
167,22.5,0,10
168,22.5,-2.25,10
169,22.5,-4.5,10
170,22.5,-6.75,10
171,22.5,-9,10
172,22.5,-11.25,10
173,22.5,-13.5,10
174,22.5,-15.75,10
175,22.5,-18,10
176,22.5,-20.25,10
177,14.81532478,2.34651709,10
178,14.26584721,4.63525486,10
179,13.365098,6.80985785,10
180,12.13525486,8.81677818,10
181,10.60660172,10.60660172,10
182,8.81677818,12.13525486,10
183,6.80985785,13.365098,10
184,4.63525486,14.26584721,10
185,2.34651709,14.81532478,10
186,0.00000006,15,10
187,-2.34651685,14.81532478,10
188,-4.63525486,14.26584721,10
189,-6.80985737,13.365098,10
190,-8.81677818,12.13525486,10
191,-10.60660172,10.60660172,10
192,-12.13525486,8.81677818,10
193,-13.365098,6.80985785,10
194,-14.26584721,4.63525486,10
195,-14.81532478,2.34651709,10
196,-14.81532478,-2.34651709,10
197,-14.26584721,-4.63525486,10
198,-13.365098,-6.80985785,10
199,-12.13525486,-8.81677818,10
200,-10.60660172,-10.60660172,10
201,-8.81677818,-12.13525486,10
202,-6.80985785,-13.365098,10
203,-4.63525486,-14.26584721,10
204,-2.34651709,-14.81532478,10
205,0.00000001,-15,10
206,2.34651709,-14.81532478,10
207,4.63525486,-14.26584721,10
208,6.80985785,-13.365098,10
209,8.81677818,-12.13525486,10
210,10.60660172,-10.60660172,10
211,12.13525486,-8.81677818,10
212,13.365098,-6.80985785,10
213,14.26584721,-4.63525486,10
214,14.81532478,-2.34651709,10
215,14.81532478,2.34651709,0
216,14.26584721,4.63525486,0
217,13.365098,6.80985785,0
218,12.13525486,8.81677818,0
219,10.60660172,10.60660172,0
220,8.81677818,12.13525486,0
